Name,Nation,Division,Unique ID,Division ID
Lokomotiv NN,Algeria,Pro League,1.526,1
Moscow,Algeria,Pro League,1.532,1
Zhemchuzhina,Algeria,Pro League,1.534,1
Airdrieonians,Algeria,Pro League,1.537,1
Edinburgh Uni. AFC,Algeria,Pro League,1.561,1
Girvan FC,Algeria,Pro League,1.568,1
Balestier Central,Algeria,Pro League,1.604,1
Geylang Utd,Algeria,Pro League,1.605,1
SAFFC,Algeria,Pro League,1.608,1
Tiong Bahru Utd,Algeria,Pro League,1.61,1
1.FC Kosice,Algeria,Pro League,1.616,1
C.D. Badajoz S.A.D.,Algeria,Pro League,1.677,1
C.D. Logrones,Spain,Pro League,1.679,1
C.D. Logrones B,Algeria,Pro League,1.694,1
C.P. Merida,Algeria,Pro League,1.719,1
U.E. Figueres S.A.D.,Algeria,Pro League,1.766,1
Lleida,Algeria,Pro League,1.769,1
Gimonas CK,Algeria,Pro League,1.793,1
Lulea FF,Algeria,Pro League,1.812,1
Lundby,Algeria,Pro League,1.815,1
Vasalunds IF (EXT),Algeria,Pro League,1.835,1
Vasby IK,Algeria,Pro League,1.837,1
Ostersund-Torvalla FF,Algeria,Pro League,1.845,1
TFB,Algeria,Pro League,1.86,1
Petrol Ofisi,Algeria,Pro League,1.877,1
Nyva Vinnytsya,Ukraine,Pro League,1.892,1
Spartak-2 Kalush,Algeria,Pro League,1.893,1
Veres,Ukraine,Pro League,1.9,1
Kansas City Wizards,Algeria,Pro League,1.906,1
MetroStars,Algeria,Pro League,1.908,1
Tampa Bay Mutiny,Algeria,Pro League,1.911,1
RCO Agde,France,Pro League,1.965,1
UFC Pays d'Argentan,Algeria,Pro League,1.967,1
AS Evry,Algeria,Pro League,1.97,1
Besancon RC,Algeria,Pro League,1.975,1
FC Beziers Mediterranee,Algeria,Pro League,1.977,1
SC Draguignan,Algeria,Pro League,1.998,1
ES Frejus,Algeria,Pro League,2,1
Evreux,Algeria,Pro League,2.001,1
FC Bourges,Algeria,Pro League,2.003,1
Vendee Fontenay Football,France,Pro League,2.013,1
US Joue-les-Tours,Algeria,Pro League,2.019,1
La Rochelle,Algeria,Pro League,2.021,1
Levallois SC,France,Pro League,2.024,1
AS Poissy,France,Pro League,2.041,1
Racing 92,Algeria,Pro League,2.045,1
CO Saint-Dizier,France,Pro League,2.05,1
Tarbes Pyrenees Football,France,Pro League,2.064,1
US Avranches,France,Pro League,2.068,1
Stade Raphaelois,Algeria,Pro League,2.077,1
Olympique Thonon,Algeria,Pro League,2.078,1
ES Vitrolles,Algeria,Pro League,2.088,1
AC Ballerup,Algeria,Pro League,2.101,1
Knudsker,Algeria,Pro League,2.12,1
Niva-Kokkedal,Algeria,Pro League,2.125,1
Ryvang,Algeria,Pro League,2.133,1
Tarnby,Algeria,Pro League,2.136,1
Viking Ronne,Algeria,Pro League,2.146,1
Overas BK,Algeria,Pro League,2.174,1
Pergocrema,Algeria,Pro League,2.196,1
Iperzola,Algeria,Pro League,2.203,1
Matera (ext),Algeria,Pro League,2.209,1
Ponsacco,Algeria,Pro League,2.211,1
Sandona,Algeria,Pro League,2.221,1
Solbiatese,Algeria,Pro League,2.223,1
Paderborn-Neuhaus,Algeria,Pro League,2.256,1
Cape Cod Crusaders,Algeria,Pro League,2.26,1
Central Jersey Riptide,Algeria,Pro League,2.261,1
New Hampshire Phantoms FC,Algeria,Pro League,2.262,1
Albany Alleycats,Algeria,Pro League,2.263,1
North Jersey Imperials,Algeria,Pro League,2.264,1
Rhode Island Stingrays,Algeria,Pro League,2.265,1
Baltimore Bays (EXT),Algeria,Pro League,2.266,1
Delaware Wizards,Algeria,Pro League,2.267,1
Chicago Stingers,Algeria,Pro League,2.268,1
Virginia Beach Mariners,Algeria,Pro League,2.269,1
New Mexico Chiles,Algeria,Pro League,2.27,1
New York Stallions,Algeria,Pro League,2.271,1
Ohio Xoggz,Algeria,Pro League,2.272,1
Reno Rattlers,Algeria,Pro League,2.273,1
South Carolina Shamrocks,Algeria,Pro League,2.275,1
Tampa Bay Cyclones,Algeria,Pro League,2.276,1
Chattanooga Express,Algeria,Pro League,2.28,1
Chico Rooks,Algeria,Pro League,2.281,1
DFW Toros,Algeria,Pro League,2.282,1
Houston Hurricanes,Algeria,Pro League,2.284,1
Mobile Reveleres,Algeria,Pro League,2.285,1
Philadelphia Freedom,Algeria,Pro League,2.286,1
Tulsa Roughnecks,Algeria,Pro League,2.289,1
Valley Golden Eagles,Algeria,Pro League,2.29,1
Washington Mustangs,Algeria,Pro League,2.291,1
Yakima Reds,Algeria,Pro League,2.293,1
Myrtle Beach Seadawgs,Algeria,Pro League,2.294,1
Daytona Beach,Algeria,Pro League,2.295,1
Atlanta Ruckus (EXT),Algeria,Pro League,2.296,1
California Jaguars,Algeria,Pro League,2.297,1
Colorado Foxes,Algeria,Pro League,2.3,1
Connecticut Wolves,Algeria,Pro League,2.301,1
